iter,objective,gap,alpha
400,8.279291e+05,1.289069e-05,0.002284
401,8.279290e+05,1.382079e-05,0.003261
402,8.279290e+05,1.240547e-05,0.002174
403,8.279289e+05,1.486977e-05,0.003834
404,8.279289e+05,1.268213e-05,0.002357
405,8.279288e+05,1.286568e-05,0.002823
406,8.279288e+05,1.403797e-05,0.003302
407,8.279287e+05,1.427159e-05,0.002732
408,8.279287e+05,1.583510e-05,0.003858
409,8.279286e+05,1.130609e-05,0.002040
410,8.279286e+05,1.319758e-05,0.003125
411,8.279285e+05,1.251706e-05,0.002629
412,8.279285e+05,1.088549e-05,0.002023
413,8.279284e+05,1.518736e-05,0.003666
414,8.279284e+05,1.039358e-05,0.001690
415,8.279284e+05,1.295112e-05,0.003144
416,8.279283e+05,1.052327e-05,0.001834
417,8.279282e+05,1.614004e-05,0.004138
418,8.279282e+05,1.159094e-05,0.002064
419,8.279282e+05,1.467706e-05,0.002924
420,8.279281e+05,9.882130e-06,0.002053
